🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-13,http://175.8.182.37:7878/udp/239.76.251.84:9000
CCTV-13,http://106.118.20.104:8188/rtp/239.254.200.9:8264
CCTV-13,http://115.171.80.250:1688/rtp/225.1.8.168:8130
CCTV-13,http://222.82.203.33:8188/udp/238.125.5.31:5140
CCTV-13,http://106.83.116.40:8188/rtp/235.254.198.9:1312
CCTV-13,http://106.59.2.119:55555/udp/239.200.201.170:8620
CCTV-13,http://144.255.32.94:8288/udp/239.21.2.3:5002
CCTV-13,http://115.171.216.39:4000/rtp/225.1.8.168:8130
CCTV-13,http://171.104.106.97:50112/udp/239.81.0.206:4056
CCTV-14,http://yp.qqqtv.top/1/api.php?id=CCTV-14HD&auth=666858
CCTV-14,http://223.167.230.5:4022/rtp/239.45.3.23:5140
CCTV-14,http://111.162.207.175:8686/rtp/225.1.1.144:5002
CCTV-14,http://171.113.210.161:4022/rtp/239.69.1.107:10280
CCTV-14,http://121.29.141.118:4022/rtp/239.253.92.198:6063
CCTV-14,http://115.171.216.39:4000/rtp/225.1.8.14:8132
CCTV-14,http://114.254.38.27:18888/rtp/239.3.1.65:8132
CCTV-14,http://175.8.182.37:7878/udp/239.76.253.164:9000
CCTV-14,http://123.191.26.168:1111/rtp/232.0.0.140:1234
CCTV-14,http://121.235.95.126:8199/rtp/239.49.8.56:9826
CCTV-14,http://121.235.95.126:8199/rtp/239.49.8.136:6000
CCTV-14,http://27.191.202.231:19999/rtp/239.254.200.162:6000
CCTV-14,http://106.83.116.40:8188/rtp/235.254.198.61:1520
CCTV-14,http://114.100.195.238:4022/rtp/238.1.78.243:7816
CCTV-14,http://175.8.182.37:7878/udp/239.76.246.164:1234
CCTV-14,http://58.46.71.35:8188/udp/239.76.253.164:9000
CCTV-14,http://144.255.31.207:6688/udp/239.21.1.157:5002
CCTV-14,http://106.118.20.104:8188/rtp/239.254.200.162:6000
CCTV-14,http://58.46.71.35:8188/udp/239.76.246.164:1234
CCTV-14,http://115.171.80.250:1688/rtp/225.1.8.14:8132
CCTV-15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858
CCTV-15,http://111.162.207.175:8686/rtp/225.1.2.194:5002
CCTV-15,http://171.113.210.161:4022/rtp/239.69.1.155:10566
CCTV-15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV-15,http://27.191.202.231:19999/rtp/239.254.201.124:8136
CCTV-15,http://144.255.32.94:8288/udp/239.21.2.4:5002
CCTV-15,http://113.119.27.173:58888/udp/239.77.1.239:5146
CCTV-15,http://121.29.141.118:4022/rtp/239.253.93.154:6322
CCTV-15,http://58.46.71.35:8188/udp/239.76.252.252:9000
CCTV-15,http://115.171.216.84:4000/rtp/225.1.8.74:8136
CCTV-15,http://115.171.80.250:1688/rtp/225.1.8.74:8136
CCTV-15,http://114.100.195.238:4022/rtp/238.1.78.222:7648
CCTV-15,http://58.46.71.35:8188/udp/239.76.245.252:1234
CCTV-15,http://144.255.31.207:6688/udp/239.21.2.4:5002
CCTV-15,http://106.118.20.104:8188/rtp/239.254.201.124:8136
CCTV-15,http://123.191.26.168:1111/rtp/232.0.0.179:1234
CCTV-15,http://220.176.218.76:9000/udp/239.252.219.79:5140
CCTV-15,http://222.82.203.33:8188/udp/238.125.4.84:5140
CCTV-15,http://106.120.13.232:4022/rtp/225.1.8.74:8136
CCTV-15,http://171.104.106.97:50112/udp/239.81.0.230:4056
CCTV-16,http://171.113.210.161:4022/rtp/239.69.1.249:11136
CCTV-16,http://111.162.207.175:8686/rtp/225.1.2.237:5002
CCTV-16,http://171.113.210.161:4022/rtp/239.69.1.247:11124
CCTV-16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV-16,http://114.254.38.27:18888/rtp/239.3.1.184:8001
CCTV-16,http://58.46.71.35:8188/udp/239.76.253.98:9000
CCTV-16,http://58.46.71.35:8188/udp/239.76.253.230:9000
CCTV-16,http://123.191.26.168:1111/rtp/232.0.0.182:1234
CCTV-16,http://220.176.218.76:9000/udp/239.252.220.237:5140
CCTV-16,http://175.8.182.37:7878/udp/239.76.253.98:9000
